name,points
Peter Doerner,110
Darian King,109
Hugo Gaston,109
Martin Lee,109
Frank Sedgman,109
Ivan Miranda,109
Frederik Nielsen,109
Chris Garner,108
Trevor Allan,107
Gianluca Mager,107
Worapol Thongkamcho,107
Ulrich Marten,107
Juan Pablo Varillas,107
Jason Kubler,107
Eric Winogradsky,107
Brian Vahaly,106
Lew Hoad,106
Doug Crawford,106
Marcelo Arevalo,105
Ramkumar Ramanathan,105
Bjorn Fratangelo,105
Charlie Fancutt,105
Allan McDonald,104
James Chico Hagey,104
Huub Van Boeckel,104
Arne Thoms,104
Jan Frode Andersen,103
Freddie Sauer,103
Paul Vojtischek,103
Bob Bryan,103
Jean Claude Barclay,103
Tony Graham,103
Hans Dieter Beutel,102
Peter Polansky,102
Renzo Olivo,102
Ramanathan Krishnan,101
Alejandro Tabilo,101
Wieslaw Gasiorek,101
Salvatore Caruso,101
Marc Lopez,100
Sean Sorensen,100
Ernie Ewert,100
Brian Baker,100
Radomir Vasek,100
Olli Rahnasto,99
Christian Vinck,99
Tomas Martin Etcheverry,99
Markus Naewie,99
Mohammad Ghareeb,99
Gerard Solves,99
Suwandi Suwandi,99
Massimo Cierro,99
Ze Zhang,98
Alejandro Pierola,98
Robin Vik,98
Kevin Ullyett,97
Alan Fox,97
Alejandro Gonzalez,97
Douglas Palm,97
Lucas Arnold Ker,97
Keith Richardson,97
Claude Ngoran,96
Di Wu,96
Loic Courteau,96
Christopher Eubanks,96
Adrian Ungur,96
Ernesto Escobedo,96
Craig Wittus,96
Jose Rubin Statham,95
Jimy Szymanski,95
Thomas Lejus,95
Emilio Gomez,94
Giovanni Lapentti,94
Roger Dowdeswell,94
Roberto Vizcaino,94
Derek Tarr,94
Mark Farrell,94
George Kalovelonis,93
Daniel Koellerer,93
Warren Maher,93
Oliver Marach,93
Prakash Amritraj,93
Mike Fishbach,93
Andy Andrews,92
Saeed Meer,92
Steve Guy,92
Piero Toci,92
Toma Ovici,91
Stefan Eriksson,91
Rauty Krog,91
Stefano Galvani,91
Daniel Contet,90
Alex Lopez Moron,90
Colin Stubs,90
Kenichi Hirai,90
