name,points
Go Soeda,320
Andre Sa,320
Istvan Gulyas,319
Blaz Kavcic,319
Todd Nelson,316
Martin Wostenholme,315
Yuichi Sugita,315
Dick Dell,315
Premjit Lall,315
Botic Van De Zandschulp,314
Richard Matuszewski,314
Kristian Pless,313
Julian Ganzabal,313
Charles Owens,312
Jerome Potier,312
James Duckworth,312
Jan Kukal,311
Rick Fisher,311
Alexei Popyrin,311
Igor Sijsling,310
Marcel Freeman,308
Wanaro N'Godrella,308
Florin Segarceanu,307
Jeff Simpson,307
Luis Herrera,306
Marco Chiudinelli,306
Joey Rive,306
Jean Louis Haillet,305
Gabriel Markus,303
Larry Stefanki,303
Martin Verkerk,303
Rick Fagel,302
Bernard Fritz,302
Tony Giammalva,301
Jeff Austin,301
John Austin,301
Bruno Oresar,301
Per Hjertquist,297
Danai Udomchoke,297
Peter Doohan,297
Paul Chamberlin,297
Thanasi Kokkinakis,297
George Bastl,297
Soon Woo Kwon,297
John Bartlett,296
Chris Pridham,295
Wesley Moodie,295
Roberto Azar,293
Mauricio Hadad,293
Jean Rene Lisnard,293
Eric Fromm,292
Grover Raz Reid,291
Johan Carlsson,290
Johan Van Herck,290
Andrew Sznajder,289
Kelly Jones,289
Irakli Labadze,288
Christophe Freyss,288
Joao Soares,287
Klaus Eberhard,286
Egor Gerasimov,284
Terry Ryan,284
Ken Flach,284
Alvin Gardiner,283
Paul Capdeville,283
Wilhelm Bungert,282
Robbie Weiss,281
Tomas Zib,280
Kevin Kim,280
Martin Sinner,280
Brandon Nakashima,279
Joao Cunha Silva,276
Christian Kuhnke,275
Juan Albert Viloca Puig,273
Oliver Gross,273
Ron Holmberg,271
Tom Nijssen,271
Martin Vassallo Arguello,270
Henri Laaksonen,269
Julian Alonso,269
Bernard Mignot,269
Tim Smyczek,268
Tennys Sandgren,268
Steve Docherty,267
Peter Curtis,266
Andreas Haider Maurer,266
Pedro Martinez,265
Stephane Simian,264
Jens Knippschild,264
Michael Joyce,264
Shahar Perkiss,264
Jared Donaldson,262
Francisco Cerundolo,261
Oleg Ogorodov,260
Simon Greul,260
Udo Riglewski,260
Roger Smith,260
Veli Paloheimo,259
John Whitlinger,259
Peter Luczak,258
Eduardo Masso,258
Ingo Buding,257
Brad Pearce,256
Emilio Benfele Alvarez,256
Richard Meyer,256
Francisco Maciel,255
Mark Knowles,255
Werner Zirngibl,253
Zoltan Kuharszky,253
Juan Avendano,253
Nicklas Kroon,253
John Paish,252
Peter Rennert,252
Chris Guccione,251
Tomas Behrend,251
Bart Wuyts,250
Zan Guerry,249
Alejandro Ganzabal,249
Jan Apell,249
Hans Simonsson,249
Tallon Griekspoor,247
Martin Strelba,246
Bernard Boileau,246
Nicola Pietrangeli,245
Ulf Stenlund,245
Jan Leschly,245
Dennis Van Scheppingen,244
Peter Wessels,244
Alexander Popp,243
Toshiro Sakai,243
Gabriel Urpi,243
Facundo Bagnis,243
Alejandro Olmedo,242
Jan Norback,241
Marcos Aurelio Gorriz,240
Alberto Tous,240
Teimuraz Kakulia,240
Tom Cain,240
Alvaro Betancur,239
Corentin Moutet,237
Jonathan Smith,237
Bud Schultz,237
Mike Machette,236
Stephane Robert,236
Andreas Beck,235
Leo Palin,235
Alvaro Fillol,235
Arthur Rinderknech,234
Tenny Svensson,234
Patrick Hombergen,234
Frederik Fetterlein,233
Jan Hajek,233
Frank Gebert,233
Takao Suzuki,231
David Schneider,231
Eduardo Schwank,231
Ivo Heuberger,231
Deon Joubert,230
Chris Kachel,230
Bob Green,230
Yannick Hanfmann,230
Sebastian Baez,229
Robert Kendrick,228
Grega Zemlja,227
Mark Petchey,226
Wolfgang Popp,226
Laurence Tieleman,225
Birger Andersson,225
Carl Limberger,225
Juan Balcells,224
Jim Gurfein,224
Attila Savolt,224
Jiri Granat,223
Robin Drysdale,223
Dan Cassidy,223
Wayne Odesnik,223
Sam Groth,222
Tommy Ho,220
Marc Flur,220
Steve Bryan,219
Chris Johnstone,219
Christo Steyn,219
William Brown,218
Santiago Ventura,218
Michal Tabara,218
Bruce Derlin,218
Elias Ymer,217
Ivan Navarro,216
Federico Coria,216
Alex Radulescu,216
Ivo Minar,216
Tatsuma Ito,215
Pavel Hutka,215
Terry Rocavert,215
Maxime Cressy,215
Benjamin Bonzi,213
Gene Scott,212
Tore Meinecke,212
Erick Iskersky,212
Alex Molcan,210
Jimmy Wang,210
Dick Bohrnstedt,210
Noam Okun,208
Flavio Cipolla,207
Tomas Nydahl,207
Jenson Brooksby,206
Daniel Elahi Galan,205
Raul Antonio Viver,204
Andrei Stoliarov,203
Pancho Guzman,202
Dick Norman,202
Patricio Rodriguez Chi,202
John Marks,202
Michal Przysiezny,202
Joern Renzenbrink,202
Martin Laurendeau,202
Barry Moir,201
David Lloyd,201
Yahiya Doumbia,200
Steve Faulk,200
Maurice Ruah,200
Dinu Pescariu,199
Robert Kreiss,199
Humphrey Hose,199
Hugo Dellien,199
Rogerio Dutra Silva,199
Gregory Carraz,198
Jeff Morrison,198
Mansour Bahrami,197
Ryan Sweeting,197
Jaroslav Navratil,197
Chris Mayotte,197
Neville Godwin,196
Steve Meister,196
Ezio Di Matteo,196
Bobby Reynolds,194
Jose Francisco Altur,194
Blaine Willenborg,193
Daniele Bracciali,193
Tito Vazquez,192
Juan Ignacio Londero,191
Dominik Koepfer,190
Jesse Levine,190
Gaston Etlis,190
Marsel Ilhan,190
Jacobo Diaz,189
Simone Colombo,189
Alexander Waske,189
Drew Gitlin,188
Rik De Voest,188
Amer Delic,187
Ruben Bemelmans,187
Denis Gremelmayr,185
Danilo Marcelino,185
Thomas Fabbiano,184
Pieter Aldrich,182
Maximo Gonzalez,182
Marcelo Ingaramo,182
Sergio Roitman,182
Oscar Otte,182
Jasjit Singh,182
Steve Campbell,181
Alejandro Hernandez,181
Frederic Fontang,181
Aki Rahunen,181
Jan Vacek,180
Dimitri Poliakov,180
Matthias Bachinger,180
Ove Nils Bengtson,179
Kenny De Schepper,178
Gastao Elias,178
Herb Fitzgibbon,178
James Ward,177
Henry Bunis,177
Rolf Thung,177
Stefano Travaglia,177
Maximilian Marterer,177
Norman Holmes,176
Marcos Daniel,174
Cedrik Marcel Stebe,174
German Lopez,174
Rui Machado,173
Jorge Lozano,173
Tsuyoshi Fukui,172
Attila Korpas,172
Jaidip Mukerjea,172
Joao Souza,171
Haroon Ismail,171
John Andrews,171
Jiri Lehecka,170
Sandor Noszaly,170
Boris Pashanski,169
Rodney Harmon,168
Kamil Majchrzak,168
Aisam Ul Haq Qureshi,167
Bernabe Zapata Miralles,166
Javier Soler,166
Gouichi Motomura,166
Norbert Gombos,166
Rolf Norberg,165
Doug Flach,164
Chris Wilkinson,164
Craig A Miller,163
Gregoire Barrere,163
Dennis Novak,163
J J Wolf,162
Razvan Sabau,162
Mirza Basic,162
Olivier Patience,161
Paul Wekesa,161
Pere Riba,160
Neil Borwick,158
Andrew Castle,157
Thierry Ascione,157
Carlos Castellan,155
Michael Kohlmann,154
Lukas Dlouhy,153
John Ross,153
David Nainkin,153
Tuomas Ketola,153
Aqeel Khan,153
Armistead Neely,152
Steve Shaw,152
Carsten Arriens,152
David Engel,152
Jack Draper,152
Francisco Yunis,151
Fernando Roese,150
Brian Macphie,150
Daniel Altmaier,149
Andrej Martin,149
Luis Adrian Morejon,148
Yuki Bhambri,147
Quentin Halys,147
Alexander Peya,147
Eric Korita,147
Marc Andrea Huesler,146
Massimo Di Domenico,145
Scott Mccain,145
Michael Robertson,145
Nicolas Devilder,145
Rick Leach,143
Johan Anderson,143
Roberto Carretero,143
Tadeusz Nowicki,142
Bill Lloyd,141
Alejandro Cortes,141
Christopher Oconnell,140
Jozef Kovalik,140
Menno Oosting,139
Stephen Warboys,139
Lars Anders Wahlgren,139
Jurgen Zopp,138
Markus Hantschk,137
Peter Pokorny,137
Olivier Mutis,136
Gianluca Mager,135
Bjorn Fratangelo,135
Ulrich Marten,134
Vladimir Korotkov,134
Emilio Montano,134
Steve Turner,134
Frank Sedgman,134
Paul Vojtischek,133
Robert Wilson,133
Tony Graham,133
Dale Collings,133
Orlin Stanoytchev,133
Peter Doerner,133
Chris Delaney,133
Eric Winogradsky,132
Brian Vahaly,132
Juan Pablo Varillas,131
Allan McDonald,131
Trevor Allan,131
Huub Van Boeckel,131
Hans Dieter Beutel,131
Alejandro Tabilo,130
Ivan Miranda,130
Peter Polansky,130
Benjamin Balleret,130
Doug Crawford,130
Michael Tauson,130
Ramkumar Ramanathan,129
Attila Balazs,129
Arne Thoms,129
Martin Lee,128
Jean Claude Barclay,128
Chris Garner,128
Robert Machan,128
Charlie Fancutt,128
Jason Kubler,127
Lew Hoad,127
Douglas Palm,127
Hugo Gaston,127
Frederik Nielsen,127
James Chico Hagey,127
Massimo Cierro,125
Alejandro Pierola,125
Renzo Olivo,124
Alejandro Gonzalez,124
Darian King,124
Christian Vinck,124
Robin Vik,124
Craig Wittus,124
U Unknown,124
Worapol Thongkamcho,124
Kevin Ullyett,124
Tomas Martin Etcheverry,123
Gerard Solves,123
Marc Lopez,123
Adrian Ungur,122
Bob Bryan,121
Sean Sorensen,121
Ernie Ewert,121
Alan Fox,121
Freddie Sauer,121
Radomir Vasek,121
Steve Guy,120
Mike Fishbach,120
Markus Naewie,120
Christopher Eubanks,119
Keith Richardson,119
Paul Hutchins,119
Oliver Marach,119
Salvatore Caruso,118
Stefan Eriksson,118
Roger Dowdeswell,118
Suwandi Suwandi,118
Jan Frode Andersen,118
Wieslaw Gasiorek,118
Ernesto Escobedo,118
Prakash Amritraj,118
Olli Rahnasto,117
Loic Courteau,117
Derek Tarr,117
Roberto Vizcaino,117
Brian Baker,117
Mark Farrell,116
Marcelo Arevalo,116
Lucas Arnold Ker,116
Ze Zhang,116
Piero Toci,116
Jose Rubin Statham,115
Jimy Szymanski,115
Francisco Montana,115
Warren Maher,114
Ramanathan Krishnan,114
Giovanni Lapentti,114
George Kalovelonis,114
Roko Karanusic,114
Andy Andrews,113
Givaldo Barbosa,113
Stefano Galvani,113
Emilio Gomez,113
Alex Lopez Moron,112
Rauty Krog,112
Eyal Ran,112
Nicolas Kicker,112
Colin Stubs,112
Gerald Melzer,112
Daniel Contet,111
Thomas Lejus,111
Martin Rodriguez,111
Toma Ovici,110
Denis Naegelen,110
Di Wu,110
Jens Woehrmann,110
Marzio Martelli,109
Vincenzo Franchitti,109
David De Miguel,109
Werner Eschauer,108
Mohammad Ghareeb,108
Victor Crivoi,108
Jeff Salzenstein,108
Michael Mmoh,108
Daniel Koellerer,108
Federico Luzzi,107
Robert Reininger,107
Miguel Tobon,106
Christophe Casa,106
Danny Sapsford,106
Eric Friedler,106
Chris Dunk,106
Kenichi Hirai,106
Bernard Balleret,106
Thierry Guardiola,106
Michele Leclercq,105
Alessio Di Mauro,105
Diego Hartfield,105
Pedro Sousa,105
